Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
Parameters: IREF=0,,,,,,
1,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-164.8e-6,,,
Parameters: IREF=10n,,,,,,
2,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-100.5e-6,,,
Parameters: IREF=20n,,,,,,
3,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",156.2e-6,,,
Parameters: IREF=30n,,,,,,
4,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",1.314e-3,,,
Parameters: IREF=40n,,,,,,
5,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",6.748e-3,,,
Parameters: IREF=50n,,,,,,
6,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",28.43e-3,,,
Parameters: IREF=60n,,,,,,
7,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",83.77e-3,,,
Parameters: IREF=70n,,,,,,
8,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",170.1e-3,,,
Parameters: IREF=80n,,,,,,
9,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",268.3e-3,,,
Parameters: IREF=90n,,,,,,
10,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",365.7e-3,,,
Parameters: IREF=100n,,,,,,
11,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",458.7e-3,,,
Parameters: IREF=110n,,,,,,
12,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",546.4e-3,,,
Parameters: IREF=120n,,,,,,
13,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",629.3e-3,,,
Parameters: IREF=130n,,,,,,
14,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",707.7e-3,,,
Parameters: IREF=140n,,,,,,
15,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",781.1e-3,,,
Parameters: IREF=150n,,,,,,
16,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",848.6e-3,,,
Parameters: IREF=160n,,,,,,
17,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",893.7e-3,,,
Parameters: IREF=170n,,,,,,
18,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",902.8e-3,,,
Parameters: IREF=180n,,,,,,
19,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",903.3e-3,,,
Parameters: IREF=190n,,,,,,
20,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",903.3e-3,,,
Parameters: IREF=200n,,,,,,
21,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",903.3e-3,,,

