Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
Parameters: data_line=1,,,,,,
1,WES_FYP:2_INPUT_2_LAYER_5_CLASS:1,"(cross(VT(""/LAYER_2_OUT_1<0>"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/LAYER_2_OUT_1<0>"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
1,WES_FYP:2_INPUT_2_LAYER_5_CLASS:1,"(cross(VT(""/LAYER_2_OUT_2<0>"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/LAYER_2_OUT_2<0>"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
1,WES_FYP:2_INPUT_2_LAYER_5_CLASS:1,"(cross(VT(""/LAYER_2_OUT_3<0>"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/LAYER_2_OUT_3<0>"") 0.9 1 ""rising"" nil nil nil))",1.012e-6,,,
1,WES_FYP:2_INPUT_2_LAYER_5_CLASS:1,"(cross(VT(""/LAYER_2_OUT_4<0>"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/LAYER_2_OUT_4<0>"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
1,WES_FYP:2_INPUT_2_LAYER_5_CLASS:1,"(cross(VT(""/LAYER_2_OUT_5<0>"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/LAYER_2_OUT_5<0>"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
Parameters: data_line=2,,,,,,
2,WES_FYP:2_INPUT_2_LAYER_5_CLASS:1,"(cross(VT(""/LAYER_2_OUT_1<0>"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/LAYER_2_OUT_1<0>"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
2,WES_FYP:2_INPUT_2_LAYER_5_CLASS:1,"(cross(VT(""/LAYER_2_OUT_2<0>"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/LAYER_2_OUT_2<0>"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
2,WES_FYP:2_INPUT_2_LAYER_5_CLASS:1,"(cross(VT(""/LAYER_2_OUT_3<0>"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/LAYER_2_OUT_3<0>"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
2,WES_FYP:2_INPUT_2_LAYER_5_CLASS:1,"(cross(VT(""/LAYER_2_OUT_4<0>"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/LAYER_2_OUT_4<0>"") 0.9 1 ""rising"" nil nil nil))",1.012e-6,,,
2,WES_FYP:2_INPUT_2_LAYER_5_CLASS:1,"(cross(VT(""/LAYER_2_OUT_5<0>"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/LAYER_2_OUT_5<0>"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
Parameters: data_line=3,,,,,,
3,WES_FYP:2_INPUT_2_LAYER_5_CLASS:1,"(cross(VT(""/LAYER_2_OUT_1<0>"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/LAYER_2_OUT_1<0>"") 0.9 1 ""rising"" nil nil nil))",1.012e-6,,,
3,WES_FYP:2_INPUT_2_LAYER_5_CLASS:1,"(cross(VT(""/LAYER_2_OUT_2<0>"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/LAYER_2_OUT_2<0>"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
3,WES_FYP:2_INPUT_2_LAYER_5_CLASS:1,"(cross(VT(""/LAYER_2_OUT_3<0>"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/LAYER_2_OUT_3<0>"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
3,WES_FYP:2_INPUT_2_LAYER_5_CLASS:1,"(cross(VT(""/LAYER_2_OUT_4<0>"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/LAYER_2_OUT_4<0>"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
3,WES_FYP:2_INPUT_2_LAYER_5_CLASS:1,"(cross(VT(""/LAYER_2_OUT_5<0>"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/LAYER_2_OUT_5<0>"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
Parameters: data_line=4,,,,,,
4,WES_FYP:2_INPUT_2_LAYER_5_CLASS:1,"(cross(VT(""/LAYER_2_OUT_1<0>"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/LAYER_2_OUT_1<0>"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
4,WES_FYP:2_INPUT_2_LAYER_5_CLASS:1,"(cross(VT(""/LAYER_2_OUT_2<0>"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/LAYER_2_OUT_2<0>"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
4,WES_FYP:2_INPUT_2_LAYER_5_CLASS:1,"(cross(VT(""/LAYER_2_OUT_3<0>"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/LAYER_2_OUT_3<0>"") 0.9 1 ""rising"" nil nil nil))",1.012e-6,,,
4,WES_FYP:2_INPUT_2_LAYER_5_CLASS:1,"(cross(VT(""/LAYER_2_OUT_4<0>"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/LAYER_2_OUT_4<0>"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
4,WES_FYP:2_INPUT_2_LAYER_5_CLASS:1,"(cross(VT(""/LAYER_2_OUT_5<0>"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/LAYER_2_OUT_5<0>"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
Parameters: data_line=5,,,,,,
5,WES_FYP:2_INPUT_2_LAYER_5_CLASS:1,"(cross(VT(""/LAYER_2_OUT_1<0>"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/LAYER_2_OUT_1<0>"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
