TotalVinPowABS X,TotalVinPowABS Y,BranchVDDPowABs X,BranchVDDPowABs Y,BranchCapRefAbs X,BranchCapRefAbs Y,VDDPowAbs X,VDDPowAbs Y,Comparator X,Comparator Y,WeightInverters X,WeightInverters Y,VDD_DIG_POW X,VDD_DIG_POW Y,
,Current flowing into mirrors due to all input pulses,,Power From VDD for both branches ,,Power to both Caps for reset,,VDD Power Abs (Branches and cap ref and input current and comparator),,Output comparator,,Inverters for a single weight signal  multiplied by 45,,Digital power source (includes weight inverters,
1,4.46E-07,1,1.58E-05,1,3.74E-07,1,6.91E-05,1,5.29E-05,1,3.89E-06,1,6.39E-05,
2,4.77E-07,2,1.58E-05,2,3.74E-07,2,6.89E-05,2,5.27E-05,2,3.89E-06,2,6.39E-05,
3,4.27E-07,3,1.58E-05,3,3.83E-07,3,6.89E-05,3,5.27E-05,3,3.89E-06,3,6.39E-05,
4,6.17E-07,4,1.58E-05,4,3.90E-07,4,6.95E-05,4,5.33E-05,4,3.89E-06,4,6.39E-05,
5,4.77E-07,5,1.58E-05,5,3.79E-07,5,6.89E-05,5,5.27E-05,5,3.89E-06,5,6.39E-05,
6,4.69E-07,6,1.58E-05,6,3.76E-07,6,6.89E-05,6,5.27E-05,6,3.89E-06,6,6.39E-05,
7,5.06E-07,7,1.58E-05,7,3.77E-07,7,6.93E-05,7,5.31E-05,7,3.89E-06,7,6.39E-05,
8,4.82E-07,8,1.58E-05,8,3.72E-07,8,6.92E-05,8,5.30E-05,8,3.89E-06,8,6.39E-05,
9,3.90E-07,9,1.58E-05,9,3.58E-07,9,6.90E-05,9,5.29E-05,9,3.89E-06,9,6.39E-05,
10,3.65E-07,10,1.58E-05,10,3.59E-07,10,6.91E-05,10,5.30E-05,10,3.89E-06,10,6.39E-05,
11,4.53E-07,11,1.58E-05,11,3.64E-07,11,6.92E-05,11,5.30E-05,11,3.89E-06,11,6.39E-05,
12,4.43E-07,12,1.58E-05,12,3.67E-07,12,6.92E-05,12,5.30E-05,12,3.89E-06,12,6.39E-05,
13,4.90E-07,13,1.58E-05,13,3.71E-07,13,6.93E-05,13,5.31E-05,13,3.89E-06,13,6.39E-05,
14,3.52E-07,14,1.58E-05,14,3.65E-07,14,6.90E-05,14,5.28E-05,14,3.89E-06,14,6.39E-05,
15,3.42E-07,15,1.58E-05,15,3.57E-07,15,6.91E-05,15,5.29E-05,15,3.89E-06,15,6.39E-05,
16,5.21E-07,16,1.58E-05,16,3.73E-07,16,6.89E-05,16,5.27E-05,16,3.89E-06,16,6.39E-05,
17,5.15E-07,17,1.58E-05,17,3.75E-07,17,6.89E-05,17,5.27E-05,17,3.89E-06,17,6.39E-05,
18,4.37E-07,18,1.58E-05,18,3.67E-07,18,6.92E-05,18,5.30E-05,18,3.89E-06,18,6.39E-05,
19,4.92E-07,19,1.58E-05,19,3.75E-07,19,6.89E-05,19,5.27E-05,19,3.89E-06,19,6.39E-05,
20,6.66E-07,20,1.58E-05,20,4.06E-07,20,6.97E-05,20,5.35E-05,20,3.89E-06,20,6.39E-05,
21,4.55E-07,21,1.58E-05,21,3.78E-07,21,6.89E-05,21,5.27E-05,21,3.89E-06,21,6.39E-05,
22,6.95E-07,22,1.58E-05,22,4.18E-07,22,6.87E-05,22,5.25E-05,22,3.89E-06,22,6.39E-05,
23,3.43E-07,23,1.58E-05,23,3.57E-07,23,6.91E-05,23,5.29E-05,23,3.89E-06,23,6.39E-05,
24,4.36E-07,24,1.58E-05,24,3.66E-07,24,6.90E-05,24,5.28E-05,24,3.89E-06,24,6.39E-05,
25,4.26E-07,25,1.58E-05,25,3.82E-07,25,6.90E-05,25,5.28E-05,25,3.89E-06,25,6.39E-05,
26,4.03E-07,26,1.58E-05,26,3.65E-07,26,6.91E-05,26,5.30E-05,26,3.89E-06,26,6.39E-05,
27,4.70E-07,27,1.58E-05,27,3.67E-07,27,6.92E-05,27,5.30E-05,27,3.89E-06,27,6.39E-05,
28,5.10E-07,28,1.58E-05,28,3.76E-07,28,6.90E-05,28,5.28E-05,28,3.89E-06,28,6.39E-05,
29,4.35E-07,29,1.58E-05,29,3.68E-07,29,6.91E-05,29,5.29E-05,29,3.89E-06,29,6.39E-05,
30,5.54E-07,30,1.58E-05,30,3.83E-07,30,6.92E-05,30,5.30E-05,30,3.89E-06,30,6.39E-05,
31,4.15E-07,31,1.58E-05,31,3.77E-07,31,6.90E-05,31,5.28E-05,31,3.89E-06,31,6.39E-05,
32,5.21E-07,32,1.58E-05,32,3.85E-07,32,6.94E-05,32,5.32E-05,32,3.89E-06,32,6.39E-05,
33,4.87E-07,33,1.58E-05,33,3.87E-07,33,6.94E-05,33,5.32E-05,33,3.89E-06,33,6.39E-05,
34,3.42E-07,34,1.58E-05,34,3.62E-07,34,6.92E-05,34,5.30E-05,34,3.89E-06,34,6.39E-05,
35,5.35E-07,35,1.58E-05,35,3.93E-07,35,6.88E-05,35,5.26E-05,35,3.89E-06,35,6.39E-05,
