Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
Parameters: line=1,,,,,,
1,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-31.06e-3,,,
Parameters: line=2,,,,,,
2,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",153.9e-3,,,
Parameters: line=3,,,,,,
3,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",373.6e-3,,,
Parameters: line=4,,,,,,
4,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",160.1e-3,,,
Parameters: line=5,,,,,,
5,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",442.8e-3,,,
Parameters: line=6,,,,,,
6,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",32.88e-3,,,
Parameters: line=7,,,,,,
7,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-681.2e-3,,,
Parameters: line=8,,,,,,
8,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",129.3e-3,,,
Parameters: line=9,,,,,,
9,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-279.8e-3,,,
Parameters: line=10,,,,,,
10,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",327.6e-3,,,
Parameters: line=11,,,,,,
11,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",438.2e-3,,,
Parameters: line=12,,,,,,
12,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",270.4e-3,,,
Parameters: line=13,,,,,,
13,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-704.8e-3,,,
Parameters: line=14,,,,,,
14,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-239.9e-3,,,
Parameters: line=15,,,,,,
15,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",326.9e-3,,,
Parameters: line=16,,,,,,
16,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-195.7e-3,,,
Parameters: line=17,,,,,,
17,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",288.2e-3,,,
Parameters: line=18,,,,,,
18,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-566.9e-3,,,
Parameters: line=19,,,,,,
19,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",6.056e-3,,,
Parameters: line=20,,,,,,
20,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",67.15e-3,,,
Parameters: line=21,,,,,,
21,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-407.8e-3,,,
Parameters: line=22,,,,,,
22,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",139.8e-6,,,
Parameters: line=23,,,,,,
23,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",231.2e-3,,,
Parameters: line=24,,,,,,
24,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-83.95e-3,,,
Parameters: line=25,,,,,,
25,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-157.6e-3,,,
Parameters: line=26,,,,,,
