Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
Parameters: line=1,,,,,,
1,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-7.109e-3,,,
Parameters: line=2,,,,,,
2,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",34.81e-3,,,
Parameters: line=3,,,,,,
3,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",85.65e-3,,,
Parameters: line=4,,,,,,
4,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",36.24e-3,,,
Parameters: line=5,,,,,,
5,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",101.9e-3,,,
Parameters: line=6,,,,,,
6,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",7.363e-3,,,
Parameters: line=7,,,,,,
7,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-160.6e-3,,,
Parameters: line=8,,,,,,
8,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",29.21e-3,,,
Parameters: line=9,,,,,,
9,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-64.44e-3,,,
Parameters: line=10,,,,,,
10,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",74.87e-3,,,
Parameters: line=11,,,,,,
11,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",100.8e-3,,,
Parameters: line=12,,,,,,
12,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",61.6e-3,,,
Parameters: line=13,,,,,,
13,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-166.4e-3,,,
Parameters: line=14,,,,,,
14,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-55.17e-3,,,
Parameters: line=15,,,,,,
15,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",74.74e-3,,,
Parameters: line=16,,,,,,
16,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-44.92e-3,,,
Parameters: line=17,,,,,,
17,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",65.72e-3,,,
Parameters: line=18,,,,,,
18,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-132.6e-3,,,
Parameters: line=19,,,,,,
19,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",1.324e-3,,,
Parameters: line=20,,,,,,
20,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",15.1e-3,,,
Parameters: line=21,,,,,,
21,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-94.52e-3,,,
Parameters: line=22,,,,,,
22,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-6.162e-6,,,
Parameters: line=23,,,,,,
23,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",52.56e-3,,,
Parameters: line=24,,,,,,
24,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-19.19e-3,,,
Parameters: line=25,,,,,,
25,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-36.1e-3,,,
Parameters: line=26,,,,,,
26,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-1.176e-3,,,
Parameters: line=27,,,,,,
27,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-110.7e-3,,,
Parameters: line=28,,,,,,
28,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",24.5e-3,,,
Parameters: line=29,,,,,,
29,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-7.908e-3,,,
Parameters: line=30,,,,,,
30,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",74.33e-3,,,
Parameters: line=31,,,,,,
31,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-58.95e-3,,,
Parameters: line=32,,,,,,
32,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-54.28e-3,,,
Parameters: line=33,,,,,,
33,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-4.542e-3,,,
Parameters: line=34,,,,,,
34,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",77.9e-3,,,
Parameters: line=35,,,,,,
35,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",14.57e-3,,,
Parameters: line=36,,,,,,
36,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-63.37e-3,,,
Parameters: line=37,,,,,,
37,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",30.65e-3,,,
Parameters: line=38,,,,,,
38,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",6.488e-3,,,
Parameters: line=39,,,,,,
39,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-24.09e-3,,,
Parameters: line=40,,,,,,
40,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",15.51e-3,,,
Parameters: line=41,,,,,,
41,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-86.23e-3,,,
Parameters: line=42,,,,,,
42,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-136e-3,,,
Parameters: line=43,,,,,,
43,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",47.96e-3,,,
Parameters: line=44,,,,,,
44,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",63.57e-3,,,
Parameters: line=45,,,,,,
45,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",49.05e-3,,,
Parameters: line=46,,,,,,
