Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
Parameters: VSTART=0,,,,,,
1,WES_FYP:antibump_VCCS_tb:1,"(- (cross(VT(""/OUT_N_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N_NB"") 0.9 1 ""rising"" nil nil nil)))",-1.009e-6,,,
1,WES_FYP:antibump_VCCS_tb:1,"(cross(VT(""/OUT_P_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P_NB"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
Parameters: VSTART=10m,,,,,,
2,WES_FYP:antibump_VCCS_tb:1,"(- (cross(VT(""/OUT_N_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N_NB"") 0.9 1 ""rising"" nil nil nil)))",-1.008e-6,,,
2,WES_FYP:antibump_VCCS_tb:1,"(cross(VT(""/OUT_P_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P_NB"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
Parameters: VSTART=20m,,,,,,
3,WES_FYP:antibump_VCCS_tb:1,"(- (cross(VT(""/OUT_N_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N_NB"") 0.9 1 ""rising"" nil nil nil)))",-1.006e-6,,,
3,WES_FYP:antibump_VCCS_tb:1,"(cross(VT(""/OUT_P_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P_NB"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
Parameters: VSTART=30m,,,,,,
4,WES_FYP:antibump_VCCS_tb:1,"(- (cross(VT(""/OUT_N_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N_NB"") 0.9 1 ""rising"" nil nil nil)))",-1.005e-6,,,
4,WES_FYP:antibump_VCCS_tb:1,"(cross(VT(""/OUT_P_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P_NB"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
Parameters: VSTART=40m,,,,,,
5,WES_FYP:antibump_VCCS_tb:1,"(- (cross(VT(""/OUT_N_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N_NB"") 0.9 1 ""rising"" nil nil nil)))",-1.003e-6,,,
5,WES_FYP:antibump_VCCS_tb:1,"(cross(VT(""/OUT_P_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P_NB"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
Parameters: VSTART=50m,,,,,,
6,WES_FYP:antibump_VCCS_tb:1,"(- (cross(VT(""/OUT_N_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N_NB"") 0.9 1 ""rising"" nil nil nil)))",-1.002e-6,,,
6,WES_FYP:antibump_VCCS_tb:1,"(cross(VT(""/OUT_P_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P_NB"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
Parameters: VSTART=60m,,,,,,
7,WES_FYP:antibump_VCCS_tb:1,"(- (cross(VT(""/OUT_N_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N_NB"") 0.9 1 ""rising"" nil nil nil)))",-1e-6,,,
7,WES_FYP:antibump_VCCS_tb:1,"(cross(VT(""/OUT_P_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P_NB"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
Parameters: VSTART=70m,,,,,,
8,WES_FYP:antibump_VCCS_tb:1,"(- (cross(VT(""/OUT_N_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N_NB"") 0.9 1 ""rising"" nil nil nil)))",-998.2e-9,,,
8,WES_FYP:antibump_VCCS_tb:1,"(cross(VT(""/OUT_P_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_P_NB"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
Parameters: VSTART=80m,,,,,,
9,WES_FYP:antibump_VCCS_tb:1,"(- (cross(VT(""/OUT_N_NB"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/OUT_N_NB"") 0.9 1 ""rising"" nil nil nil)))",-996.4e-9,,,
