VOUT ,leafValue( IS("/IPMOS/IOUT") "factor" 1.083 ) (A),leafValue( IS("/INMOS/IOUT") "factor" 1.083 ) (A)
720.0E-3,-1.035E-6,979.8E-9
727.2E-3,-1.034E-6,980.7E-9
734.4E-3,-1.033E-6,981.5E-9
741.6E-3,-1.032E-6,982.4E-9
748.8E-3,-1.031E-6,983.2E-9
756.0E-3,-1.030E-6,984.0E-9
763.2E-3,-1.029E-6,984.9E-9
770.4E-3,-1.028E-6,985.7E-9
777.6E-3,-1.027E-6,986.5E-9
784.8E-3,-1.026E-6,987.3E-9
792.0E-3,-1.025E-6,988.1E-9
799.2E-3,-1.024E-6,989.0E-9
806.4E-3,-1.024E-6,989.8E-9
813.6E-3,-1.023E-6,990.6E-9
820.8E-3,-1.022E-6,991.4E-9
828.0E-3,-1.021E-6,992.2E-9
835.2E-3,-1.020E-6,993.0E-9
842.4E-3,-1.019E-6,993.8E-9
849.6E-3,-1.018E-6,994.6E-9
856.8E-3,-1.017E-6,995.4E-9
864.0E-3,-1.016E-6,996.2E-9
871.2E-3,-1.015E-6,997.0E-9
878.4E-3,-1.014E-6,997.7E-9
885.6E-3,-1.013E-6,998.5E-9
892.8E-3,-1.012E-6,999.3E-9
900.0E-3,-1.011E-6,1.000E-6
907.2E-3,-1.010E-6,1.001E-6
914.4E-3,-1.010E-6,1.002E-6
921.6E-3,-1.009E-6,1.002E-6
928.8E-3,-1.008E-6,1.003E-6
936.0E-3,-1.007E-6,1.004E-6
943.2E-3,-1.006E-6,1.005E-6
950.4E-3,-1.005E-6,1.005E-6
957.6E-3,-1.004E-6,1.006E-6
964.8E-3,-1.003E-6,1.007E-6
972.0E-3,-1.002E-6,1.008E-6
979.2E-3,-1.001E-6,1.008E-6
986.4E-3,-1.000E-6,1.009E-6
993.6E-3,-999.1E-9,1.010E-6
1.001,-998.1E-9,1.011E-6
1.008,-997.2E-9,1.011E-6
1.015,-996.2E-9,1.012E-6
1.022,-995.2E-9,1.013E-6
1.030,-994.3E-9,1.014E-6
1.037,-993.3E-9,1.014E-6
1.044,-992.3E-9,1.015E-6
1.051,-991.4E-9,1.016E-6
1.058,-990.4E-9,1.017E-6
1.066,-989.4E-9,1.017E-6
1.073,-988.4E-9,1.018E-6
1.080,-987.5E-9,1.019E-6
