VOUT ,leafValue( IS("/IPMOS/IOUT") "factor" 1.083 ) (A),leafValue( IS("/INMOS/IOUT") "factor" 1.083 ) (A)
0.000,-1.123E-6,-40.79E-12
36.00E-3,-1.118E-6,728.9E-9
72.00E-3,-1.114E-6,850.0E-9
108.0E-3,-1.110E-6,872.5E-9
144.0E-3,-1.105E-6,885.0E-9
180.0E-3,-1.101E-6,894.9E-9
216.0E-3,-1.097E-6,903.4E-9
252.0E-3,-1.092E-6,911.0E-9
288.0E-3,-1.088E-6,918.0E-9
324.0E-3,-1.084E-6,924.5E-9
360.0E-3,-1.079E-6,930.7E-9
396.0E-3,-1.075E-6,936.4E-9
432.0E-3,-1.070E-6,942.0E-9
468.0E-3,-1.066E-6,947.3E-9
504.0E-3,-1.062E-6,952.3E-9
540.0E-3,-1.057E-6,957.3E-9
576.0E-3,-1.053E-6,962.0E-9
612.0E-3,-1.048E-6,966.6E-9
648.0E-3,-1.044E-6,971.1E-9
684.0E-3,-1.039E-6,975.5E-9
720.0E-3,-1.035E-6,979.8E-9
756.0E-3,-1.030E-6,984.0E-9
792.0E-3,-1.025E-6,988.1E-9
828.0E-3,-1.021E-6,992.2E-9
864.0E-3,-1.016E-6,996.2E-9
900.0E-3,-1.011E-6,1.000E-6
936.0E-3,-1.007E-6,1.004E-6
972.0E-3,-1.002E-6,1.008E-6
1.008,-997.2E-9,1.011E-6
1.044,-992.3E-9,1.015E-6
1.080,-987.5E-9,1.019E-6
1.116,-982.6E-9,1.022E-6
1.152,-977.6E-9,1.026E-6
1.188,-972.6E-9,1.030E-6
1.224,-967.5E-9,1.033E-6
1.260,-962.3E-9,1.037E-6
1.296,-957.1E-9,1.040E-6
1.332,-951.8E-9,1.043E-6
1.368,-946.4E-9,1.047E-6
1.404,-940.9E-9,1.050E-6
1.440,-935.2E-9,1.054E-6
1.476,-929.5E-9,1.057E-6
1.512,-923.5E-9,1.060E-6
1.548,-917.4E-9,1.064E-6
1.584,-911.0E-9,1.067E-6
1.620,-904.1E-9,1.070E-6
1.656,-896.6E-9,1.073E-6
1.692,-887.3E-9,1.077E-6
1.728,-869.0E-9,1.080E-6
1.764,-748.1E-9,1.083E-6
1.800,96.97E-12,1.086E-6
