VOUT ,leafValue( IS("/M6/D") "factor" 1.083 ) (A),leafValue( IS("/M3/D") "factor" 1.083 ) (A)
450.0E-3,-1.000E-6,994.4E-9
468.0E-3,-1.000E-6,996.3E-9
486.0E-3,-1.000E-6,997.7E-9
504.0E-3,-1.000E-6,998.8E-9
522.0E-3,-1.000E-6,999.4E-9
540.0E-3,-1.000E-6,999.5E-9
558.0E-3,-1.000E-6,999.4E-9
576.0E-3,-1.000E-6,999.5E-9
594.0E-3,-1.000E-6,999.5E-9
612.0E-3,-1.000E-6,999.6E-9
630.0E-3,-1.000E-6,999.6E-9
648.0E-3,-1.000E-6,999.6E-9
666.0E-3,-1.000E-6,999.6E-9
684.0E-3,-1.000E-6,999.7E-9
702.0E-3,-999.9E-9,999.7E-9
720.0E-3,-999.9E-9,999.7E-9
738.0E-3,-999.9E-9,999.7E-9
756.0E-3,-999.9E-9,999.8E-9
774.0E-3,-999.9E-9,999.8E-9
792.0E-3,-999.9E-9,999.8E-9
810.0E-3,-999.9E-9,999.8E-9
828.0E-3,-999.9E-9,999.8E-9
846.0E-3,-999.8E-9,999.8E-9
864.0E-3,-999.8E-9,999.9E-9
882.0E-3,-999.8E-9,999.9E-9
900.0E-3,-999.8E-9,999.9E-9
918.0E-3,-999.8E-9,999.9E-9
936.0E-3,-999.8E-9,999.9E-9
954.0E-3,-999.8E-9,999.9E-9
972.0E-3,-999.7E-9,999.9E-9
990.0E-3,-999.7E-9,1.000E-6
1.008,-999.7E-9,1.000E-6
1.026,-999.7E-9,1.000E-6
1.044,-999.7E-9,1.000E-6
1.062,-999.7E-9,1.000E-6
1.080,-999.6E-9,1.000E-6
1.098,-999.6E-9,1.000E-6
1.116,-999.6E-9,1.000E-6
1.134,-999.6E-9,1.000E-6
1.152,-999.5E-9,1.000E-6
1.170,-999.5E-9,1.000E-6
1.188,-999.3E-9,1.000E-6
1.206,-999.1E-9,1.000E-6
1.224,-998.6E-9,1.000E-6
1.242,-997.8E-9,1.000E-6
1.260,-996.7E-9,1.000E-6
1.278,-995.5E-9,1.000E-6
1.296,-994.1E-9,1.000E-6
1.314,-992.5E-9,1.000E-6
1.332,-990.8E-9,1.000E-6
1.350,-989.0E-9,1.000E-6
