factor ,leafValue( IS("/I82/IOUT") "factor" 1 ) (A)
1.000,-1.076E-6
1.002,-1.074E-6
1.004,-1.072E-6
1.006,-1.070E-6
1.008,-1.068E-6
1.010,-1.066E-6
1.012,-1.063E-6
1.014,-1.061E-6
1.016,-1.059E-6
1.018,-1.057E-6
1.020,-1.055E-6
1.022,-1.053E-6
1.024,-1.051E-6
1.026,-1.049E-6
1.028,-1.047E-6
1.030,-1.045E-6
1.032,-1.043E-6
1.034,-1.041E-6
1.036,-1.039E-6
1.038,-1.037E-6
1.040,-1.035E-6
1.042,-1.033E-6
1.044,-1.031E-6
1.046,-1.029E-6
1.048,-1.027E-6
1.050,-1.025E-6
1.052,-1.023E-6
1.054,-1.022E-6
1.056,-1.020E-6
1.058,-1.018E-6
1.060,-1.016E-6
1.062,-1.014E-6
1.064,-1.012E-6
1.066,-1.010E-6
1.068,-1.008E-6
1.070,-1.006E-6
1.072,-1.005E-6
1.074,-1.003E-6
1.076,-1.001E-6
1.078,-999.1E-9
1.080,-997.2E-9
1.082,-995.4E-9
1.084,-993.6E-9
1.086,-991.8E-9
1.088,-990.0E-9
1.090,-988.2E-9
1.092,-986.4E-9
1.094,-984.6E-9
1.096,-982.8E-9
1.098,-981.1E-9
1.100,-979.3E-9
