VOUT ,leafValue( IS("/I82/IOUT") "VOUT" 0.9 ) (A)
0.000,-1.194E-6
36.00E-3,-1.189E-6
72.00E-3,-1.185E-6
108.0E-3,-1.180E-6
144.0E-3,-1.176E-6
180.0E-3,-1.171E-6
216.0E-3,-1.166E-6
252.0E-3,-1.162E-6
288.0E-3,-1.157E-6
324.0E-3,-1.153E-6
360.0E-3,-1.148E-6
396.0E-3,-1.143E-6
432.0E-3,-1.139E-6
468.0E-3,-1.134E-6
504.0E-3,-1.129E-6
540.0E-3,-1.124E-6
576.0E-3,-1.120E-6
612.0E-3,-1.115E-6
648.0E-3,-1.110E-6
684.0E-3,-1.105E-6
720.0E-3,-1.101E-6
756.0E-3,-1.096E-6
792.0E-3,-1.091E-6
828.0E-3,-1.086E-6
864.0E-3,-1.081E-6
900.0E-3,-1.076E-6
936.0E-3,-1.071E-6
972.0E-3,-1.066E-6
1.008,-1.061E-6
1.044,-1.056E-6
1.080,-1.051E-6
1.116,-1.046E-6
1.152,-1.040E-6
1.188,-1.035E-6
1.224,-1.030E-6
1.260,-1.024E-6
1.296,-1.019E-6
1.332,-1.013E-6
1.368,-1.007E-6
1.404,-1.001E-6
1.440,-995.4E-9
1.476,-989.2E-9
1.512,-982.9E-9
1.548,-976.4E-9
1.584,-969.6E-9
1.620,-962.4E-9
1.656,-954.4E-9
1.692,-944.4E-9
1.728,-924.8E-9
1.764,-794.7E-9
1.800,96.97E-12
