VOUT ,leafValue( IS("/I82/IOUT") "factor" 1.078 ) (A)
0.000,-1.127E-6
36.00E-3,-1.122E-6
72.00E-3,-1.118E-6
108.0E-3,-1.114E-6
144.0E-3,-1.109E-6
180.0E-3,-1.105E-6
216.0E-3,-1.101E-6
252.0E-3,-1.096E-6
288.0E-3,-1.092E-6
324.0E-3,-1.087E-6
360.0E-3,-1.083E-6
396.0E-3,-1.079E-6
432.0E-3,-1.074E-6
468.0E-3,-1.070E-6
504.0E-3,-1.065E-6
540.0E-3,-1.061E-6
576.0E-3,-1.056E-6
612.0E-3,-1.052E-6
648.0E-3,-1.047E-6
684.0E-3,-1.043E-6
720.0E-3,-1.038E-6
756.0E-3,-1.034E-6
792.0E-3,-1.029E-6
828.0E-3,-1.024E-6
864.0E-3,-1.020E-6
900.0E-3,-1.015E-6
936.0E-3,-1.010E-6
972.0E-3,-1.006E-6
1.008,-1.001E-6
1.044,-996.0E-9
1.080,-991.1E-9
1.116,-986.1E-9
1.152,-981.2E-9
1.188,-976.1E-9
1.224,-971.0E-9
1.260,-965.8E-9
1.296,-960.6E-9
1.332,-955.3E-9
1.368,-949.9E-9
1.404,-944.3E-9
1.440,-938.7E-9
1.476,-932.9E-9
1.512,-926.9E-9
1.548,-920.7E-9
1.584,-914.3E-9
1.620,-907.5E-9
1.656,-899.9E-9
1.692,-890.5E-9
1.728,-872.1E-9
1.764,-750.8E-9
1.800,96.97E-12
