Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
Parameters: data_line=1,,,,,,
1,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",-104.9e-3,,,
Parameters: data_line=2,,,,,,
2,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",-99.71e-3,,,
Parameters: data_line=3,,,,,,
3,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",-94.49e-3,,,
Parameters: data_line=4,,,,,,
4,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",-89.27e-3,,,
Parameters: data_line=5,,,,,,
5,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",-84.04e-3,,,
Parameters: data_line=6,,,,,,
6,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",-78.82e-3,,,
Parameters: data_line=7,,,,,,
7,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",-73.58e-3,,,
Parameters: data_line=8,,,,,,
8,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",-68.35e-3,,,
Parameters: data_line=9,,,,,,
9,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",-63.11e-3,,,
Parameters: data_line=10,,,,,,
10,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",-57.87e-3,,,
Parameters: data_line=11,,,,,,
11,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",-52.63e-3,,,
Parameters: data_line=12,,,,,,
12,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",-47.38e-3,,,
Parameters: data_line=13,,,,,,
13,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",-42.13e-3,,,
Parameters: data_line=14,,,,,,
14,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",-36.88e-3,,,
Parameters: data_line=15,,,,,,
15,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",-31.62e-3,,,
Parameters: data_line=16,,,,,,
16,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",-26.36e-3,,,
Parameters: data_line=17,,,,,,
17,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",-21.1e-3,,,
Parameters: data_line=18,,,,,,
18,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",-15.84e-3,,,
Parameters: data_line=19,,,,,,
19,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",-10.57e-3,,,
Parameters: data_line=20,,,,,,
20,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",-5.302e-3,,,
Parameters: data_line=21,,,,,,
21,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",-28.52e-6,,,
Parameters: data_line=22,,,,,,
22,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",4.985e-3,,,
Parameters: data_line=23,,,,,,
23,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",10.24e-3,,,
Parameters: data_line=24,,,,,,
24,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",15.49e-3,,,
Parameters: data_line=25,,,,,,
25,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",20.75e-3,,,
Parameters: data_line=26,,,,,,
26,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",26.01e-3,,,
Parameters: data_line=27,,,,,,
27,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",31.26e-3,,,
Parameters: data_line=28,,,,,,
28,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",36.51e-3,,,
Parameters: data_line=29,,,,,,
29,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",41.76e-3,,,
Parameters: data_line=30,,,,,,
30,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",47e-3,,,
Parameters: data_line=31,,,,,,
31,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",52.24e-3,,,
Parameters: data_line=32,,,,,,
32,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",57.47e-3,,,
Parameters: data_line=33,,,,,,
33,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",62.7e-3,,,
Parameters: data_line=34,,,,,,
34,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",67.93e-3,,,
Parameters: data_line=35,,,,,,
35,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",73.16e-3,,,
Parameters: data_line=36,,,,,,
36,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",78.38e-3,,,
Parameters: data_line=37,,,,,,
37,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",83.59e-3,,,
Parameters: data_line=38,,,,,,
38,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",88.81e-3,,,
Parameters: data_line=39,,,,,,
39,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",94.02e-3,,,
Parameters: data_line=40,,,,,,
40,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",99.22e-3,,,
Parameters: data_line=41,,,,,,
41,WES_FYP:2_INPUT_NEURON_tb:1,"(value(VT(""/I86/VCAP"") 3.1e-06) - 0.9)",104.4e-3,,,

