Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
Parameters: data_line=1,,,,,,
1,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-195.1e-3,,,
Parameters: data_line=2,,,,,,
2,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-185.5e-3,,,
Parameters: data_line=3,,,,,,
3,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-175.8e-3,,,
Parameters: data_line=4,,,,,,
4,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-166.1e-3,,,
Parameters: data_line=5,,,,,,
5,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-156.4e-3,,,
Parameters: data_line=6,,,,,,
6,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-146.8e-3,,,
Parameters: data_line=7,,,,,,
7,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-137e-3,,,
Parameters: data_line=8,,,,,,
8,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-127.3e-3,,,
Parameters: data_line=9,,,,,,
9,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-117.6e-3,,,
Parameters: data_line=10,,,,,,
10,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-107.9e-3,,,
Parameters: data_line=11,,,,,,
11,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-98.11e-3,,,
Parameters: data_line=12,,,,,,
12,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-88.35e-3,,,
Parameters: data_line=13,,,,,,
13,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-78.57e-3,,,
Parameters: data_line=14,,,,,,
14,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-68.79e-3,,,
Parameters: data_line=15,,,,,,
15,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-59e-3,,,
Parameters: data_line=16,,,,,,
16,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-49.19e-3,,,
Parameters: data_line=17,,,,,,
17,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-39.37e-3,,,
Parameters: data_line=18,,,,,,
18,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-29.55e-3,,,
Parameters: data_line=19,,,,,,
19,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-19.71e-3,,,
Parameters: data_line=20,,,,,,
20,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-9.863e-3,,,
Parameters: data_line=21,,,,,,
21,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",-6.161e-6,,,
Parameters: data_line=22,,,,,,
22,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",9.474e-3,,,
Parameters: data_line=23,,,,,,
23,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",19.41e-3,,,
Parameters: data_line=24,,,,,,
24,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",29.38e-3,,,
Parameters: data_line=25,,,,,,
25,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",39.29e-3,,,
Parameters: data_line=26,,,,,,
26,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",49.2e-3,,,
Parameters: data_line=27,,,,,,
27,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",59.13e-3,,,
Parameters: data_line=28,,,,,,
28,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",69.02e-3,,,
Parameters: data_line=29,,,,,,
29,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",78.9e-3,,,
Parameters: data_line=30,,,,,,
30,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",88.75e-3,,,
Parameters: data_line=31,,,,,,
31,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",98.6e-3,,,
Parameters: data_line=32,,,,,,
32,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",108.4e-3,,,
Parameters: data_line=33,,,,,,
33,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",118.3e-3,,,
Parameters: data_line=34,,,,,,
34,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",128.1e-3,,,
Parameters: data_line=35,,,,,,
35,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",137.9e-3,,,
Parameters: data_line=36,,,,,,
36,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",147.7e-3,,,
Parameters: data_line=37,,,,,,
37,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",157.4e-3,,,
Parameters: data_line=38,,,,,,
38,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",167.2e-3,,,
Parameters: data_line=39,,,,,,
39,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",177e-3,,,
Parameters: data_line=40,,,,,,
40,multiplier_tb:1,"(value(VT(""/VCAP"") 3.1e-06) - 0.9)",186.7e-3,,,
Parameters: data_line=41,,,,,,
