Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
Parameters: data_line=1,,,,,,
1,WES_FYP:2_layer_neural_network:1,"(cross(VT(""/layer2_OUT0_P"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/layer2_OUT0_P"") 0.9 1 ""rising"" nil nil nil))",1.012e-6,,,
1,WES_FYP:2_layer_neural_network:1,"(- (cross(VT(""/layer2_OUT0_N"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/layer2_OUT0_N"") 0.9 1 ""rising"" nil nil nil)))",eval err,,,
1,WES_FYP:2_layer_neural_network:1,"(cross(VT(""/layer2_OUT1_P"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/layer2_OUT1_P"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
1,WES_FYP:2_layer_neural_network:1,"(- (cross(VT(""/layer2_OUT1_N"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/layer2_OUT1_N"") 0.9 1 ""rising"" nil nil nil)))",-983.1e-9,,,
Parameters: data_line=2,,,,,,
2,WES_FYP:2_layer_neural_network:1,"(cross(VT(""/layer2_OUT0_P"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/layer2_OUT0_P"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
2,WES_FYP:2_layer_neural_network:1,"(- (cross(VT(""/layer2_OUT0_N"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/layer2_OUT0_N"") 0.9 1 ""rising"" nil nil nil)))",-1.011e-6,,,
2,WES_FYP:2_layer_neural_network:1,"(cross(VT(""/layer2_OUT1_P"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/layer2_OUT1_P"") 0.9 1 ""rising"" nil nil nil))",1.012e-6,,,
2,WES_FYP:2_layer_neural_network:1,"(- (cross(VT(""/layer2_OUT1_N"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/layer2_OUT1_N"") 0.9 1 ""rising"" nil nil nil)))",eval err,,,
Parameters: data_line=3,,,,,,
3,WES_FYP:2_layer_neural_network:1,"(cross(VT(""/layer2_OUT0_P"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/layer2_OUT0_P"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
3,WES_FYP:2_layer_neural_network:1,"(- (cross(VT(""/layer2_OUT0_N"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/layer2_OUT0_N"") 0.9 1 ""rising"" nil nil nil)))",-1.009e-6,,,
3,WES_FYP:2_layer_neural_network:1,"(cross(VT(""/layer2_OUT1_P"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/layer2_OUT1_P"") 0.9 1 ""rising"" nil nil nil))",1.012e-6,,,
3,WES_FYP:2_layer_neural_network:1,"(- (cross(VT(""/layer2_OUT1_N"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/layer2_OUT1_N"") 0.9 1 ""rising"" nil nil nil)))",eval err,,,
Parameters: data_line=4,,,,,,
4,WES_FYP:2_layer_neural_network:1,"(cross(VT(""/layer2_OUT0_P"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/layer2_OUT0_P"") 0.9 1 ""rising"" nil nil nil))",1.012e-6,,,
4,WES_FYP:2_layer_neural_network:1,"(- (cross(VT(""/layer2_OUT0_N"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/layer2_OUT0_N"") 0.9 1 ""rising"" nil nil nil)))",eval err,,,
4,WES_FYP:2_layer_neural_network:1,"(cross(VT(""/layer2_OUT1_P"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/layer2_OUT1_P"") 0.9 1 ""rising"" nil nil nil))",eval err,,,
4,WES_FYP:2_layer_neural_network:1,"(- (cross(VT(""/layer2_OUT1_N"") 0.9 1 ""falling"" nil nil nil) - cross(VT(""/layer2_OUT1_N"") 0.9 1 ""rising"" nil nil nil)))",-959.7e-9,,,

